"","...1","Timestamp","ID","Age","Gender","Condition","ReactionTime","keypress","Stimulus","File","stimcolour","correct","congruency"
"466",58,"2021_Dec_13_1418","hfdsz",23,"Female","1",2.44333266699687,"r","r","logfile_hfdsz_2021_Dec_13_1418_1.csv","r",1,"0"
"467",59,"2021_Dec_13_1418","hfdsz",23,"Female","1",0.705058749997988,"y","y","logfile_hfdsz_2021_Dec_13_1418_1.csv","y",1,"1"
"468",1,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",1.36834473995259,"r","r","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","r",1,"1"
"469",2,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",1.39000161201693,"y","y","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","y",1,"0"
"470",3,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",1.82065183104714,"y","y","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","y",1,"0"
"471",4,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",2.01354762999108,"y","y","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","y",1,"0"
"472",5,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",2.07080293894978,"r","r","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","r",1,"1"
"473",6,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",0.800440814986359,"y","y","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","y",1,"0"
"474",7,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",0.893312325992156,"y","y","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","y",1,"0"
"475",8,"2021_Dec_13_2217","Kirsten Birch",25,"Female","2",0.812863074010238,"y","y","logfile_Kirsten_Birch_2021_Dec_13_2217_2.csv","y",1,"0"
